	word	frequency	volumes
469	attempt	19880	20468.345703125
470	original	32259	20409.59375
471	player	49305	20402.4921875
472	facility	8611	20323.7265625
473	future	13342	20269.798828125
474	medium	17386	20202.888671875
475	proved	6588	19847.701171875
476	ready	3950	19800.740234375
477	engineer	6913	19775.30078125
478	managed	7649	19522.85546875
479	virginia	11034	19439.623046875
480	duty	8360	19270.912109375
481	success	19300	19270.17578125
482	stand	10763	19239.0703125
483	lead	26894	19192.70703125
484	posted	3872	19127.291015625
485	protection	6141	19104.06640625
486	mean	11826	19015.908203125
487	public	30722	18937.076171875
488	helped	10321	18909.951171875
489	line	52265	18909.5
490	passage	4795	18831.146484375
491	weak	3555	18804.67578125
492	better	13466	18789.7421875
493	region	21188	18783.220703125
494	survey	4599	18630.33203125
495	fully	6032	18429.337890625
496	especially	11399	18294.5703125
497	weight	6242	18251.841796875
498	allowing	7358	18249.962890625
499	approximately	10872	18223.14453125
500	control	24893	18205.859375
501	communication	5531	18104.314453125
502	start	18323	18095.1484375
503	opened	16528	17964.212890625
504	modern	17867	17941.1328125
505	french	29069	17919.998046875
506	western	22746	17912.34375
507	promoted	6873	17777.609375
508	pair	9099	17715.48046875
509	rate	11216	17702.966796875
510	similar	23721	17679.53125
511	produced	23338	17603.98828125
512	spring	9100	17534.0859375
513	natural	10415	17411.544921875
514	square	12234	17391.763671875
515	supporting	5751	17278.947265625
516	surrounding	5906	17266.37890625
517	population	20693	16967.494140625
518	gave	23760	16675.5
519	limit	5554	16646.02734375
520	expansion	5957	16585.69921875
521	hand	18379	16477.642578125
522	range	20884	16463.474609375
523	broke	7035	16399.2109375
524	james	20748	16349.083984375
525	maintained	6094	16310.400390625
526	returned	23548	16274.6005859375
527	longest	3264	16238.1689453125
528	resident	9787	16203.0693359375
529	continue	7941	15958.5283203125
530	leading	16239	15870.4541015625
531	zealand	7581	15856.416015625
532	tree	12795	15795.1103515625
533	follow	7015	15747.7763671875
534	programme	4814	15705.34765625
535	equipment	6482	15519.05859375
536	existing	5049	15306.8681640625
537	middle	13202	15266.10546875
538	hold	11002	15252.23828125
539	clear	8375	15169.10546875
540	street	27745	15102.6181640625
541	war	79274	15088.48046875
542	relatively	7203	14998.2275390625
543	area	62381	14950.431640625
544	indian	14908	14932.5908203125
545	town	31331	14841.599609375
546	ability	11072	14759.1279296875
547	carried	11146	14712.80859375
548	secondary	5389	14646.798828125
549	john	42217	14627.3125
550	seen	19200	14589.794921875
551	earlier	14163	14579.09765625
552	help	17348	14520.1123046875
553	protect	4970	14464.111328125
554	surface	12694	14314.3173828125
555	difficult	9677	14312.59765625
556	developing	4790	14301.39453125
557	served	18910	14256.416015625
558	officer	20285	14225.1806640625
559	providing	4806	14058.0576171875
560	reaching	6753	13980.8056640625
561	thirty	4663	13972.4072265625
562	house	43880	13961.4462890625
563	includes	9659	13911.5126953125
564	depth	4498	13895.2041015625
565	capable	4041	13892.3154296875
566	receiving	4918	13846.6689453125
567	radio	14233	13804.951171875
568	closed	8513	13755.70703125
569	grade	5649	13714.7333984375
570	unable	9029	13604.2294921875
571	potential	7357	13535.9638671875
572	water	34007	13468.1689453125
573	act	24388	13372.779296875
574	coming	7216	13137.435546875
575	suffered	9609	13083.421875
576	gained	6640	13082.3486328125
577	english	25087	13038.033203125
578	pas	9573	12909.986328125
579	science	13418	12877.228515625
580	receive	5361	12799.005859375
581	changed	10100	12669.427734375
582	smaller	8944	12655.50390625
583	contributed	5031	12652.6201171875
584	news	12292	12651.9931640625
585	pressure	11926	12648.4208984375
586	never	23731	12646.66015625
587	reduced	7936	12521.0849609375
588	interest	15963	12483.3720703125
589	nearby	8223	12418.2314453125
590	good	25726	12362.8583984375
591	defined	4867	12337.076171875
592	problem	15631	12238.640625
593	defense	9495	12194.61328125
594	attempted	8900	12118.595703125
595	supported	10435	12091.6279296875
596	target	7626	12086.923828125
597	combat	8770	12056.3583984375
598	art	23471	11918.8408203125
599	advance	9442	11890.185546875
600	separate	8471	11860.3212890625
601	defence	8750	11845.9658203125
602	forty	3103	11843.208984375
603	vehicle	9151	11832.5185546875
604	provides	5025	11832.146484375
605	black	28706	11796.216796875
606	built	30188	11772.357421875
607	term	21430	11770.078125
608	germany	12228	11688.611328125
609	held	29771	11622.728515625
610	remains	10004	11478.240234375
611	bringing	3753	11434.4619140625
612	board	13789	11380.42578125
613	others	18003	11271.001953125
614	rather	17492	11260.2578125
615	urban	5461	11199.2783203125
616	mainly	6831	11156.8076171875
617	information	9799	11144.025390625
618	attention	8624	11128.3291015625
619	gold	12862	11126.736328125
620	us	10271	11111.90234375
621	strike	7087	11086.0009765625
622	mission	12769	11060.814453125
623	improvement	4543	11015.67578125
624	rose	7291	11008.3134765625
625	create	10238	10973.388671875
626	money	12384	10961.673828125
627	distance	8289	10941.7353515625
628	whole	8899	10913.75390625
629	white	29729	10912.8896484375
630	centre	12392	10812.84765625
631	abandoned	5665	10763.8642578125
632	fire	23867	10754.4033203125
633	giving	8466	10753.5732421875
634	causing	6521	10698.5400390625
635	safety	5329	10657.9892578125
636	inside	9061	10656.677734375
637	age	24619	10605.478515625
638	wing	13272	10572.103515625
639	museum	11240	10368.0751953125
640	intelligence	4796	10355.001953125
641	fighting	9080	10325.9306640625
642	captain	14516	10311.228515625
